dataset,condition,mean_gate_probability,sample_severe_rate,sequence_severe_rate
CWRU,clean,0.0023871562740699,0.0024444444444444,0.0
CWRU,snr_6,0.0026687077030756,0.0026666666666666,0.0
CWRU,snr_0,0.0066974976972538,0.0035555555555555006,0.0
CWRU,snr_-6,0.9993330501030688,1.0,1.0
JNU,clean,1.852394054818012e-05,0.2602083333333333,0.0
JNU,snr_6,0.0019007844590531,0.3333333333333333,0.0
JNU,snr_0,0.10196797433689149,0.3389583333333334,0.0
JNU,snr_-6,0.9319980889674472,0.7672916666666666,1.0
PADERBORN,clean,3.9380007924402384e-10,0.0,0.0
PADERBORN,snr_6,2.7392694760817492e-05,0.02666666666666663,0.0
PADERBORN,snr_0,0.1319324720007416,0.6166666666666667,0.0
PADERBORN,snr_-6,0.9511065018663568,1.0,1.0
