dataset,condition,model,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std
CWRU,clean,TFN,0.7914814814814815,0.021874313628267722,0.7767868204277866,0.024474295409379607
CWRU,snr_6,TFN,0.7654814814814815,0.030654855481783802,0.7463763859965488,0.03667776551949935
CWRU,snr_0,TFN,0.7042222222222222,0.03191733148906282,0.6809526985756346,0.02445671039246529
CWRU,snr_-6,TFN,0.21511111111111106,0.12115065613310347,0.16555362175512425,0.13865138010481592
CWRU,clean,Physics-TFN,0.800074074074074,0.027071312622002425,0.7886860266969729,0.028626169650919173
CWRU,snr_6,Physics-TFN,0.7686666666666667,0.024456562652795718,0.7514875346962508,0.027887768226744554
CWRU,snr_0,Physics-TFN,0.7197037037037037,0.04306545883716982,0.7011624754781792,0.03925864440036941
CWRU,snr_-6,Physics-TFN,0.22044444444444444,0.1191266573602532,0.1725008274821037,0.14055037977403384
CWRU,clean,Plain-TFN,0.800074074074074,0.027071312622002425,0.7886860266969729,0.028626169650919173
CWRU,snr_6,Plain-TFN,0.7686666666666667,0.024456562652795718,0.7514875346962508,0.027887768226744554
CWRU,snr_0,Plain-TFN,0.7197037037037037,0.04306545883716982,0.7011624754781792,0.03925864440036941
CWRU,snr_-6,Plain-TFN,0.22044444444444444,0.1191266573602532,0.1725008274821037,0.14055037977403384
CWRU,clean,CNN,0.7762962962962963,0.011069551907094952,0.7536287819226851,0.015742411539638578
CWRU,snr_6,CNN,0.7589629629629631,0.010713631177342042,0.7357777657269119,0.014479069504237763
CWRU,snr_0,CNN,0.7042962962962962,0.030857964802779036,0.6920953447066588,0.023594083533200073
CWRU,snr_-6,CNN,0.24199999999999997,0.11931243351018979,0.2029637894757492,0.1285350667540722
CWRU,clean,ResNet1D,0.7937037037037037,0.01652881260376963,0.7469026784911357,0.02076289942607651
CWRU,snr_6,ResNet1D,0.7973333333333333,0.015503086112524326,0.7541162234581177,0.017584651014071428
CWRU,snr_0,ResNet1D,0.7582222222222222,0.06788807055335118,0.7341413702944065,0.052155225981491665
CWRU,snr_-6,ResNet1D,0.1829629629629629,0.03665139973971877,0.14642798494787373,0.052956135473036826
JNU,clean,TFN,0.9175,0.025210055037623323,0.9174349302156646,0.02515609534214714
JNU,snr_6,TFN,0.9116666666666666,0.021554195260629308,0.9122215234053991,0.021159524983147417
JNU,snr_0,TFN,0.8166666666666668,0.036882061470765615,0.8175193585157269,0.03860090379749617
JNU,snr_-6,TFN,0.4870833333333333,0.035970546400261046,0.47089999465508187,0.07556421397303073
JNU,clean,Physics-TFN,0.9160416666666666,0.025127280161874523,0.9159972236837167,0.02513480756846019
JNU,snr_6,Physics-TFN,0.9133333333333334,0.02100347193521428,0.9138898786597105,0.020630021481731056
JNU,snr_0,Physics-TFN,0.8185416666666666,0.03748089791258124,0.8194537590567785,0.03916904826846961
JNU,snr_-6,Physics-TFN,0.488125,0.036276929652328656,0.4724086992829801,0.07493796976688576
JNU,clean,Plain-TFN,0.9160416666666666,0.025127280161874523,0.9159972236837167,0.02513480756846019
JNU,snr_6,Plain-TFN,0.9133333333333334,0.02100347193521428,0.9138898786597105,0.020630021481731056
JNU,snr_0,Plain-TFN,0.8185416666666666,0.03748089791258124,0.8194537590567785,0.03916904826846961
JNU,snr_-6,Plain-TFN,0.488125,0.036276929652328656,0.4724086992829801,0.07493796976688576
JNU,clean,CNN,0.8695833333333333,0.009967394761588106,0.8670618211359367,0.009556692457261007
JNU,snr_6,CNN,0.8454166666666666,0.00848558827267351,0.843416248109022,0.006700274227836288
JNU,snr_0,CNN,0.7433333333333333,0.06040337497469276,0.7403121236508611,0.05971997249410025
JNU,snr_-6,CNN,0.44979166666666665,0.06812882252272774,0.42105895657517234,0.09766468994911966
JNU,clean,ResNet1D,0.8381249999999999,0.0610839586143531,0.8403243274668056,0.057759414459809665
JNU,snr_6,ResNet1D,0.8177083333333334,0.05535867893414126,0.8199602172795405,0.052554157936073397
JNU,snr_0,ResNet1D,0.695,0.044427785506369784,0.6970638618839841,0.04517490990922754
JNU,snr_-6,ResNet1D,0.38104166666666667,0.036391605602574505,0.3471513927034871,0.06155822860594764
PADERBORN,clean,TFN,0.9708333333333333,0.012444320435889963,0.9705212761081842,0.012826098399842846
PADERBORN,snr_6,TFN,0.9405555555555555,0.01768421560266341,0.9392797752899457,0.018927045291170348
PADERBORN,snr_0,TFN,0.9047222222222221,0.011314117696897946,0.9022634018998179,0.012656751303194599
PADERBORN,snr_-6,TFN,0.6375000000000001,0.05137687547266119,0.628148177676278,0.05913548572062916
PADERBORN,clean,Physics-TFN,0.9722222222222222,0.011676583087213234,0.9719296159545658,0.012030143169281603
PADERBORN,snr_6,Physics-TFN,0.9419444444444444,0.017166127283867096,0.9407289679286134,0.01836191383007134
PADERBORN,snr_0,Physics-TFN,0.9058333333333334,0.010929064207169966,0.9034167413238636,0.012218797500852802
PADERBORN,snr_-6,Physics-TFN,0.6383333333333333,0.053313798505744345,0.6289194196288626,0.061291032388733596
PADERBORN,clean,Plain-TFN,0.9722222222222222,0.011676583087213234,0.9719296159545658,0.012030143169281603
PADERBORN,snr_6,Plain-TFN,0.9419444444444444,0.017166127283867096,0.9407289679286134,0.01836191383007134
PADERBORN,snr_0,Plain-TFN,0.9058333333333334,0.010929064207169966,0.9034167413238636,0.012218797500852802
PADERBORN,snr_-6,Plain-TFN,0.6383333333333333,0.053313798505744345,0.6289194196288626,0.061291032388733596
PADERBORN,clean,CNN,0.9716666666666667,0.008457409637576827,0.9714561841727143,0.008558451503587102
PADERBORN,snr_6,CNN,0.9605555555555556,0.01131411769689798,0.9601412074094399,0.01162060407980395
PADERBORN,snr_0,CNN,0.9205555555555556,0.014101155718330097,0.9199129906791996,0.014665135102539879
PADERBORN,snr_-6,CNN,0.6627777777777778,0.023159071496771877,0.6532994752576272,0.03154279698273155
PADERBORN,clean,ResNet1D,0.9730555555555555,0.009141379262169005,0.9728474066558562,0.009300357814283412
PADERBORN,snr_6,ResNet1D,0.9627777777777777,0.006254627916220994,0.9624545249768204,0.006463160524768324
PADERBORN,snr_0,ResNet1D,0.9333333333333335,0.005464532103585006,0.9325360225952979,0.0059678078017546396
PADERBORN,snr_-6,ResNet1D,0.6150000000000001,0.059231185479722885,0.5886010894488084,0.08272664826684836
