dataset,condition,reference,adaptive_aurc_mean,adaptive_aurc_std,reference_aurc_mean,aurc_reduction_mean,top10_accuracy_gain_mean,better_seed_count,equal_seed_count
CWRU,clean,confidence,0.06296753720159783,0.011325969933687596,0.06296753720159783,0.0,0.0,0,3
CWRU,clean,negative_entropy,0.06296753720159783,0.011325969933687596,0.062306155078762894,-0.0006613821228349364,0.0,0,0
CWRU,clean,probability_margin,0.06296753720159783,0.011325969933687596,0.06409775413080214,0.0011302169292042978,0.0,3,0
CWRU,clean,learned_evidence,0.06296753720159783,0.011325969933687596,0.10936859451125924,0.046401057309661396,0.008888888888888872,3,0
CWRU,snr_6,confidence,0.07111392409029023,0.012792151344592178,0.07111392409029023,0.0,0.0,0,3
CWRU,snr_6,negative_entropy,0.07111392409029023,0.012792151344592178,0.07000191946137936,-0.0011120046289108652,0.0,0,0
CWRU,snr_6,probability_margin,0.07111392409029023,0.012792151344592178,0.07239308093688986,0.0012791568465996342,0.0,3,0
CWRU,snr_6,learned_evidence,0.07111392409029023,0.012792151344592178,0.10162022653079571,0.030506302440505475,0.0,3,0
CWRU,snr_0,confidence,0.11590053673388777,0.03405895785701572,0.11590053673388777,0.0,0.0,0,3
CWRU,snr_0,negative_entropy,0.11590053673388777,0.03405895785701572,0.11451057555812673,-0.0013899611757610304,0.0,0,0
CWRU,snr_0,probability_margin,0.11590053673388777,0.03405895785701572,0.11808243425567373,0.0021818975217859685,0.0007407407407407826,3,0
CWRU,snr_0,learned_evidence,0.11590053673388777,0.03405895785701572,0.16885958852935348,0.052959051795465735,0.029629629629629634,3,0
CWRU,snr_-6,confidence,0.6689050769485769,0.1673542934384557,0.7462043755035991,0.07729929855502223,0.12074074074074072,3,0
CWRU,snr_-6,negative_entropy,0.6689050769485769,0.1673542934384557,0.7433673208877792,0.07446224393920235,0.11555555555555556,3,0
CWRU,snr_-6,probability_margin,0.6689050769485769,0.1673542934384557,0.748393267318631,0.0794881903700541,0.1259259259259259,3,0
CWRU,snr_-6,learned_evidence,0.6689050769485769,0.1673542934384557,0.6689050769485769,0.0,0.0,0,3
CWRU,mixed_snr,confidence,0.2052141847505999,0.06517499554858577,0.2146732993597281,0.009459114609128202,-0.03185185185185183,1,2
CWRU,mixed_snr,negative_entropy,0.2052141847505999,0.06517499554858577,0.21156826828619768,0.006354083535597789,-0.03185185185185183,1,0
CWRU,mixed_snr,probability_margin,0.2052141847505999,0.06517499554858577,0.21791866468056964,0.01270447992996973,-0.030370370370370308,3,0
CWRU,mixed_snr,learned_evidence,0.2052141847505999,0.06517499554858577,0.19657726141945617,-0.008636923331143761,0.0,1,1
CWRU,colored_-6,confidence,0.8605521965030117,0.01630302633942404,0.8605521965030117,0.0,0.0,0,3
CWRU,colored_-6,negative_entropy,0.8605521965030117,0.01630302633942404,0.8601727742690333,-0.00037942223397842884,0.0007407407407407316,1,0
CWRU,colored_-6,probability_margin,0.8605521965030117,0.01630302633942404,0.8606965655301216,0.00014436902711001398,0.0007407407407407316,2,0
CWRU,colored_-6,learned_evidence,0.8605521965030117,0.01630302633942404,0.8614770357742362,0.0009248392712244794,0.002962962962962931,2,0
CWRU,impulse_-6,confidence,0.7925175937178633,0.05733371681118258,0.809704158973493,0.01718656525562971,0.06444444444444443,3,0
CWRU,impulse_-6,negative_entropy,0.7925175937178633,0.05733371681118258,0.8052390385091348,0.012721444791271427,0.015555555555555526,3,0
CWRU,impulse_-6,probability_margin,0.7925175937178633,0.05733371681118258,0.7894539136874719,-0.00306368003039148,-0.07111111111111112,2,0
CWRU,impulse_-6,learned_evidence,0.7925175937178633,0.05733371681118258,0.7925175937178633,0.0,0.0,0,3
CWRU,mechanical_-6,confidence,0.8114740666651258,0.04432311822147627,0.8222968908400544,0.010822824174928672,0.03333333333333336,3,0
CWRU,mechanical_-6,negative_entropy,0.8114740666651258,0.04432311822147627,0.8214546111538232,0.009980544488697451,0.03037037037037041,3,0
CWRU,mechanical_-6,probability_margin,0.8114740666651258,0.04432311822147627,0.823218463055321,0.011744396390195125,0.03777777777777778,3,0
CWRU,mechanical_-6,learned_evidence,0.8114740666651258,0.04432311822147627,0.8114740666651258,0.0,0.0,0,3
JNU,clean,confidence,0.0209236042967558,0.010516966240134044,0.0209236042967558,0.0,0.0,0,3
JNU,clean,negative_entropy,0.0209236042967558,0.010516966240134044,0.02095277551826727,2.9171221511467445e-05,0.0,2,0
JNU,clean,probability_margin,0.0209236042967558,0.010516966240134044,0.020957375405415868,3.3771108660066045e-05,0.0,1,0
