dataset,condition,score,aurc_mean,aurc_std
CWRU,clean,adaptive_sequence_1,0.10083221798269977,0.04456168280139246
CWRU,clean,adaptive_sequence_8,0.10772843041420917,0.07586265702154325
CWRU,clean,adaptive_sequence_32,0.12078633574783114,0.08551292366433183
CWRU,clean,adaptive_sequence_128,0.12388562094765566,0.0682120875487925
CWRU,snr_6,adaptive_sequence_1,0.07291571003746083,0.0137556774698612
CWRU,snr_6,adaptive_sequence_8,0.07291921379451993,0.013756053871490084
CWRU,snr_6,adaptive_sequence_32,0.0805629055374659,0.01582683539235367
CWRU,snr_6,adaptive_sequence_128,0.09472260887017307,0.01791022499593774
CWRU,snr_0,adaptive_sequence_1,0.11179049727344803,0.027563248483209908
CWRU,snr_0,adaptive_sequence_8,0.11618090040303179,0.031802871445098344
CWRU,snr_0,adaptive_sequence_32,0.11590053673388777,0.03405895785701572
CWRU,snr_0,adaptive_sequence_128,0.11590053673388777,0.03405895785701572
CWRU,snr_-6,adaptive_sequence_1,0.6695050923808514,0.16720953413694872
CWRU,snr_-6,adaptive_sequence_8,0.6689050769485769,0.1673542934384557
CWRU,snr_-6,adaptive_sequence_32,0.6689050769485769,0.1673542934384557
CWRU,snr_-6,adaptive_sequence_128,0.6689050769485769,0.1673542934384557
CWRU,mixed_snr,adaptive_sequence_1,0.20403884589735344,0.04517621425090547
CWRU,mixed_snr,adaptive_sequence_8,0.21305653324461313,0.04662706034779491
CWRU,mixed_snr,adaptive_sequence_32,0.22141215964117197,0.09043780168994
CWRU,mixed_snr,adaptive_sequence_128,0.2146732993597281,0.0814578813666354
CWRU,colored_-6,adaptive_sequence_1,0.8605521965030117,0.01630302633942404
CWRU,colored_-6,adaptive_sequence_8,0.8605521965030117,0.01630302633942404
CWRU,colored_-6,adaptive_sequence_32,0.8605521965030117,0.01630302633942404
CWRU,colored_-6,adaptive_sequence_128,0.8605521965030117,0.01630302633942404
CWRU,impulse_-6,adaptive_sequence_1,0.7925175937178633,0.05733371681118258
CWRU,impulse_-6,adaptive_sequence_8,0.7925175937178633,0.05733371681118258
CWRU,impulse_-6,adaptive_sequence_32,0.7925175937178633,0.05733371681118258
CWRU,impulse_-6,adaptive_sequence_128,0.7925175937178633,0.05733371681118258
CWRU,mechanical_-6,adaptive_sequence_1,0.8210623623286925,0.04551992067845579
CWRU,mechanical_-6,adaptive_sequence_8,0.828001235312586,0.0457996342252508
CWRU,mechanical_-6,adaptive_sequence_32,0.8114740666651258,0.04432311822147627
CWRU,mechanical_-6,adaptive_sequence_128,0.8114740666651258,0.04432311822147627
JNU,clean,adaptive_sequence_1,0.0305552925293628,0.014234858142240282
JNU,clean,adaptive_sequence_8,0.0209236042967558,0.010516966240134044
JNU,clean,adaptive_sequence_32,0.0209236042967558,0.010516966240134044
JNU,clean,adaptive_sequence_128,0.0209236042967558,0.010516966240134044
JNU,snr_6,adaptive_sequence_1,0.020263965591183698,0.008640082217928346
JNU,snr_6,adaptive_sequence_8,0.020223683585895835,0.00859205183754899
JNU,snr_6,adaptive_sequence_32,0.020223683585895835,0.00859205183754899
JNU,snr_6,adaptive_sequence_128,0.020223683585895835,0.00859205183754899
JNU,snr_0,adaptive_sequence_1,0.0663146384482307,0.02120402424151668
JNU,snr_0,adaptive_sequence_8,0.0654113823026172,0.02002584226169887
JNU,snr_0,adaptive_sequence_32,0.0654113823026172,0.02002584226169887
